year,0,1,2,3,4,5,6,7,8,9,10
1998,2.235367462339006,1.8028567051722646,2.5001702087620257,7.4564324611873225,1.4769635822593614,1.2125752830351681,44.8976652814388,1.4317250038022347,1.4212663780818489,2.2460380224314225,1.149609482326706
1999,17.599898182932755,18.254403684712084,19.28867426524122,49.940061762366774,29.2668713670979,18.240796792127355,12.105539781828064,32.38843370555859,52.95403733153332,27.70688185517167,31.15722647456745
2000,13.86561040366034,32.33797478917484,36.13138996575363,20.829174739738395,19.78722409593667,26.699604684965397,20.55178276226645,50.32979340003412,34.57922267526331,12.540462699394242,37.02589891750519
2001,4.232825264385591,19.853619775179077,5.567136040358403,19.82529601472863,5.863213894977085,3.1781823018696094,5.4339274204609955,1.6518120928437896,3.2274216520203,4.677096895868888,1.7284164044856942
2002,2.3357384873267835,1.891348613183536,6.713602408411346,4.597409868165598,4.190859701695503,6.146022615663703,3.732280374249507,4.624646388471727,1.6296404582167308,3.471775061612993,3.469546247417668
2003,16.08192368386662,16.500333139033714,22.76602968244413,27.728492833745133,11.445181559789606,13.166031422280843,17.097378305261717,11.08412455525368,16.54505356930384,24.22896499995762,23.2369760113687
2004,38.75537601075939,72.50075746109934,91.63156471123085,44.09754608230897,58.45924517917345,34.01471496526969,63.77896596897545,69.26946424584592,50.824268645675055,36.717528721066714,47.73374481280617
2005,37.962495434009206,11.816273596700485,59.27699059062234,66.72196126690272,76.50419586607342,24.353466432642772,64.9161596358602,9.869200218722368,7.517556425800602,29.775613891703767,38.91019115607009
2006,49.73249600627998,27.34103604670814,56.88436291541018,31.537470127019542,58.63700112229345,33.13982459708169,27.033931246467283,27.11938817391968,50.80167426659346,50.571337278840765,18.043440252905395
2007,46.3382147957826,55.58612898464675,144.10258156156368,83.14724774888194,44.67192863204279,47.88395456740581,60.1786287286108,61.756442579110626,45.17994328132544,118.73379631283252,39.644077747346984
2008,42.17388437745203,30.878446914792708,45.53201117129279,41.300507298685716,29.673367892065997,60.855447576253646,35.40857909552769,97.01154127963876,28.743967322360316,99.5907430818625,93.67507467725517
2009,216.39229045306467,257.0862831223289,312.4322538598672,471.1668114615013,194.76433583289528,215.7074400901527,167.12613361148144,208.61278041951485,375.18335262393595,269.72213093835626,313.05947436875914
2010,12.88116836742373,18.177559532947576,12.162971606946066,36.81652443108084,12.372774679715508,12.124177324532292,14.862353775653366,15.431297694610553,48.85153598742047,12.935831352672531,12.183349017055168
2011,59.3321169251488,72.48588490271426,62.969529856918186,62.416518142748494,45.24149253838482,106.28824012574107,87.3180341861388,166.59423189360587,43.08640048432218,58.95350378819359,74.91151809110741
2012,0.4110634043699955,2.70058752109553,1.3864538115330687,0.46465189070870444,0.4110634043699955,0.44790662893095373,0.41685393467500365,0.4110634043699955,0.41687343683079997,0.4110634043699955,1.1304967764922367
2013,8.52348216264271,11.658941488277893,18.427067815373867,23.092894123652,10.268245668279725,10.189178808264625,14.922259945898446,30.028650037997377,28.568856757837843,9.707803231125535,38.62296912151146
2014,14.746270113663885,52.790099774482236,11.031615844258349,10.716360163958173,36.56549111444399,59.60199873845279,105.96000373392839,21.347239088640155,55.93304106178793,27.89889469709343,14.765131972642768
2015,5.591051045312053,6.9409237399396355,14.222285068091312,7.832452749056482,6.3988149967069115,8.459530701613339,4.227396460295539,14.611845424280252,4.724053714157478,8.496430818267784,4.141476154340219
2016,3.8504436060793883,3.5745768047207047,3.4433456111187635,10.774252497635377,3.496959630228212,3.2570717343035205,67.95105117824285,27.835308780193657,3.0785528043910824,3.0630180357521066,5.494150898362374
2017,11.096201070381357,16.33813543811344,14.946135655622701,26.303614806451762,2.7837368076323044,2.0490114009446496,10.713527478345675,1.6267360754257811,1.3517832092616293,4.636444641496832,15.047996304062677
