dates,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
20180104,0.17326666666666668,0.7078333333333333,1.4399666666666666,0.0,79.89679999999998,0.0,1041.0090000000002,0.0,0.0,0.0,8.2369,1.2860333333333331,0.0,20.016433333333335,5.468199999999999,,30.3937,0.0,17.75953333333333,0.0
20180111,0.17326666666666668,0.969,5.294133333333334,0.0,29.273600000000005,2.067266666666667,1044.1066,0.0,7.488066666666667,20.596799999999998,11.583,2.6162333333333336,0.0,35.412166666666664,11.830499999999999,,39.14476666666666,0.0,13.002266666666666,0.0
20180118,0.08103333333333333,1.3613333333333335,14.477838709677423,0.0,11.42613333333333,12.695966666666667,906.8655806451612,0.0,10.251066666666665,31.077066666666667,13.856451612903227,4.551333333333333,0.0,68.43876666666665,16.628225806451614,0.0,40.3521,0.0,1.1479032258064517,0.0
20180125,0.0,10.275933333333334,18.361290322580647,0.0,9.572633333333334,17.039833333333334,658.0134516129032,0.0,12.2323,37.582899999999995,12.84335483870968,15.527666666666665,0.0,94.3155,19.550290322580643,0.0,49.90313333333333,0.0,0.20864516129032257,0.0
20180201,0.0,21.960600000000003,27.02745161290323,0.0,6.615800000000002,18.193199999999997,608.8243870967742,0.0,16.003733333333333,40.71050000000002,22.589096774193553,17.265800000000002,0.0,108.23870000000001,27.604967741935482,0.0,37.94826666666667,0.0,0.0,0.0
20180208,3.7524666666666664,37.068900000000006,30.486741935483877,0.0,8.735566666666667,77.11583333333333,479.7868064516129,0.0,15.885566666666668,30.355266666666672,56.60803225806452,18.7619,0.0,104.47659999999999,26.4731935483871,0.0,53.71523333333333,0.0,0.39,4.8369333333333335
20180215,10.464433333333334,43.55309999999999,23.992,0.0,11.843233333333332,115.73063333333333,322.01680000000005,2.4713666666666665,26.367833333333337,19.9387,135.84993333333335,18.38746666666667,0.0,100.03863333333335,51.18486666666668,0.13936666666666667,53.944333333333326,0.0,3.0726999999999998,7.958800000000001
20180222,12.700966666666668,41.667666666666676,26.727699999999995,0.0,14.454499999999998,124.74870000000001,192.45510000000002,5.426566666666667,41.92386666666667,13.677766666666669,291.1839,10.784233333333333,0.21106666666666668,72.68490000000001,54.895999999999994,0.7723000000000001,65.16276666666666,1.1273000000000002,4.340166666666666,8.756766666666666
20180301,12.700966666666666,31.139766666666667,31.798866666666672,0.0,13.485199999999999,124.72713333333333,136.33903333333333,5.685133333333334,66.655,10.432599999999995,394.2642,19.457733333333337,15.521933333333333,41.095533333333336,51.772166666666664,1.0617333333333334,60.07823333333334,1.3862999999999999,4.698666666666666,9.678733333333334
20180308,15.102033333333335,18.05826666666667,52.714899999999986,0.0,12.317533333333333,85.28419999999998,81.48060000000001,5.770366666666666,74.5281,8.364866666666666,451.0715333333334,55.56269999999999,36.52596666666667,50.926700000000004,46.925466666666665,1.0617333333333332,38.02153333333334,1.6273000000000004,4.567499999999999,5.956000000000001
20180315,7.4077,13.186800000000002,57.10683333333334,0.0,8.492666666666667,23.8872,63.71806666666667,4.0762,91.59953333333333,11.955166666666665,395.8892333333334,180.58013333333332,41.889500000000005,57.779799999999994,20.805433333333333,1.4345999999999997,48.3221,2.692733333333334,3.1816666666666666,2.6185
20180322,6.154566666666667,8.708599999999999,51.549800000000005,0.0,6.808966666666667,10.047466666666667,55.92583333333333,0.6082000000000001,106.16629999999999,21.553066666666663,287.43523333333326,282.2412,43.34723333333333,91.64770000000001,9.438633333333334,1.0961666666666665,37.350833333333334,2.0839000000000003,0.6384333333333333,1.7758333333333336
20180329,6.907866666666667,8.921399999999998,49.13123333333335,0.0,5.368866666666667,15.432333333333334,35.204299999999996,0.18126666666666666,88.14096666666666,24.534499999999998,193.85556666666665,347.97769999999997,37.65473333333333,148.7225,6.198666666666668,2.871633333333334,28.92813333333333,2.8400999999999996,0.15036666666666668,0.7949333333333333
20180405,5.591833333333333,13.266033333333333,20.263133333333332,0.0,4.1043,13.451133333333335,29.800999999999995,0.060000000000000005,81.87046666666669,25.367766666666668,112.87336666666668,363.7581333333333,16.686233333333337,155.34050000000005,4.416466666666666,3.3757666666666664,19.7571,3.4679333333333338,0.0,0.19103333333333336
20180412,2.765233333333333,15.458566666666668,6.7575666666666665,0.0,3.4403,12.988499999999997,28.21473333333334,0.0,52.80606666666666,20.710900000000002,93.01706666666668,280.6043333333334,5.793866666666668,144.93216666666666,2.111833333333333,3.5119000000000002,6.750200000000001,3.1632666666666664,0.0,0.0
20180419,1.4112,16.921333333333333,4.028533333333334,0.0,3.2344333333333344,10.92593333333333,25.69183333333333,0.0,22.487799999999996,9.872866666666665,66.35343333333334,183.00379999999998,4.053066666666667,127.4535666666667,1.256833333333333,3.1479333333333335,8.397166666666667,2.574433333333333,0.0,0.0
20180426,0.5718666666666666,15.629233333333332,2.6157999999999997,0.0,2.3657333333333335,2.5148333333333337,21.020166666666668,0.0,11.917533333333333,3.6105999999999994,25.117133333333335,129.71103333333335,3.0577333333333327,45.5386,0.7426333333333334,1.5910666666666666,7.5234,2.5209666666666664,0.0,0.5247333333333334
