dates,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
20180104,0.12053333333333334,0.5668666666666666,2.965833333333334,0.0,90.35713333333335,0.0,492.90346666666665,0.0,0.0,0.0,2.2912666666666666,0.3927666666666667,0.0,1.6462333333333334,4.9249333333333345,,0.0,0.0,16.8244,0.0
20180111,0.17326666666666668,0.7078333333333333,2.9658333333333333,0.0,94.49933333333334,0.0,880.7016666666666,0.0,0.0,0.0,4.6106,0.7385,0.0,16.1298,5.257499999999999,,0.8160333333333333,0.0,17.598699999999997,0.0
20180118,0.17326666666666668,0.7078333333333333,1.7174000000000003,0.0,84.57343333333333,0.0,982.1219333333335,0.0,0.0,0.0,7.904566666666667,1.2118000000000002,0.0,19.6841,5.443466666666667,,29.321033333333332,0.0,17.75953333333333,0.0
20180125,0.17326666666666668,0.8816666666666666,3.3460666666666667,0.0,31.435833333333342,0.24359999999999998,1058.4133666666667,0.0,6.867166666666666,18.093366666666665,11.438066666666666,2.4566666666666666,0.0,34.315333333333335,11.507766666666667,,38.76333333333333,0.0,17.759533333333334,0.0
20180201,0.12053333333333334,1.5585666666666669,13.722709677419354,0.0,11.924666666666663,12.035466666666668,948.4058387096773,0.0,9.8947,29.9058,13.888806451612902,3.591133333333333,0.0,59.917433333333335,16.32541935483871,0.0,40.251866666666665,0.0,1.4695161290322583,0.0
20180208,0.0,8.6027,17.981516129032258,0.0,9.1325,16.5018,680.885870967742,0.0,12.014566666666665,36.89083333333334,12.477258064516132,15.213333333333331,0.0,86.75949999999999,19.164064516129027,0.0,48.713100000000004,0.0,0.27599999999999997,0.0
20180215,0.0,20.61703333333333,23.7783870967742,0.0,7.172366666666667,18.08683333333333,605.8841935483871,0.0,15.582699999999996,40.40120000000002,21.603322580645163,17.027633333333334,0.0,107.55976666666668,25.961741935483865,0.0,42.36696666666667,0.0,0.0,0.0
20180222,1.6090666666666669,36.08086666666667,30.54054838709678,0.0,8.1728,67.02736666666665,496.25374193548384,0.0,15.398100000000001,32.4095,49.104870967741945,18.67986666666667,0.0,105.85346666666666,28.762096774193548,0.0,53.674233333333326,0.0,0.29570967741935483,4.5809
20180301,10.297733333333333,42.62559999999999,23.576599999999996,0.0,11.740166666666669,114.31306666666666,358.9995666666667,2.104233333333333,23.760933333333337,20.9678,123.08473333333335,18.5315,0.0,106.36233333333334,49.48953333333334,0.07423333333333333,53.80926666666665,0.0,2.443166666666667,7.846800000000001
20180308,12.700966666666666,43.27286666666667,26.801233333333332,0.0,14.454500000000001,124.80680000000001,217.0461,5.3392333333333335,40.85826666666667,14.422933333333336,274.9504666666667,9.631766666666667,0.18116666666666667,74.40060000000001,54.86829999999999,0.7232333333333334,64.7692,1.0506666666666666,4.239933333333334,8.656533333333334
20180315,12.70096666666667,33.46503333333333,29.617933333333337,0.0,13.324299999999997,124.74036666666667,143.01853333333332,5.6548,66.36823333333334,10.91273333333333,386.21156666666667,14.601500000000003,10.493733333333333,42.24863333333334,53.11346666666666,1.0393333333333332,58.556333333333335,1.3550333333333335,4.6687666666666665,9.604500000000003
20180322,14.746766666666668,18.814166666666672,50.22423333333333,0.0,12.984166666666669,93.43643333333331,86.67376666666668,5.762266666666666,72.27189999999999,8.976133333333335,451.3813666666666,53.586233333333325,34.258766666666666,48.29330000000001,47.3943,1.0617333333333332,38.90463333333334,1.6273000000000002,4.639399999999999,6.433333333333334
20180329,7.177633333333333,14.420566666666668,57.1582,0.0,8.592733333333333,28.604300000000006,64.6154,4.991066666666666,92.0615,10.610566666666667,405.00663333333335,169.16003333333336,41.5802,63.33086666666667,25.387633333333333,1.3285666666666665,47.857666666666674,2.5369000000000006,3.674,2.8099666666666665
20180405,6.020433333333333,9.09093333333333,52.20693333333334,0.0,6.7984333333333336,11.290333333333335,57.30233333333333,0.8210333333333334,105.61826666666667,20.076166666666666,305.6515,274.4290333333334,43.2142,72.93816666666667,10.010466666666666,1.1271333333333333,39.13403333333334,2.1191,0.7415333333333333,1.9137666666666668
20180412,6.816033333333334,8.930366666666666,50.32703333333334,0.0,5.486133333333333,15.5361,36.80293333333332,0.2058,89.67660000000001,24.342533333333336,205.98520000000002,334.7577999999999,41.64433333333333,147.20553333333334,6.6382,2.7016333333333336,30.000333333333337,1.7553999999999996,0.18913333333333335,0.8951666666666667
20180419,6.252333333333334,12.723833333333335,26.904600000000002,0.0,4.1683,13.875233333333332,30.07943333333333,0.06896666666666666,83.10086666666669,25.3245,121.92023333333333,362.9573999999999,21.774166666666666,151.64603333333335,4.572300000000001,3.3266999999999998,20.10256666666667,3.4466666666666668,0.0,0.2606333333333334
20180426,3.032666666666666,15.062433333333335,7.417533333333334,0.0,3.3094333333333337,13.000499999999997,28.315566666666673,0.005933333333333334,54.074600000000004,22.418300000000002,94.64026666666668,300.5710666666667,6.2114,147.26809999999998,2.3048333333333333,3.5326333333333335,8.252400000000002,3.7715999999999994,0.0,0.0
