EstacaoCodigo;NivelConsistencia;Data;Media;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
36160000;1;01/12/2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/11/2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;1;01/10/2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/09/2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;1;01/08/2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/07/2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/06/2017;0.525;0;0;6.13;3.27;2.599;1.763;1.163;0.817;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;1;01/05/2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/04/2017;2.362;2.84;2.522;3.934;4.138;4.138;3.36;3.007;7.093;5.252;4.348;3.36;3.007;2.372;2.227;3.934;3.181;2.088;2.227;2.088;1.584;1.364;1.069;0.897;0.817;0;0;0;0;0;0;
36160000;1;01/03/2017;7.702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83.762;28.702;15.684;9.279;7.681;18.115;37.461;15.684;8.944;5.744;4.348;3.36
36160000;1;01/02/2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
36160000;1;01/01/2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/12/2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/11/2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;1;01/10/2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/09/2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;1;01/08/2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/07/2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/06/2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;1;01/05/2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/04/2016;1.714;13.251;7.093;4.787;4.035;3.093;2.758;3.007;2.678;2.088;1.584;1.364;1.163;0.981;0.897;0.857;1.069;0.707;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;1;01/03/2016;2.974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.889;2.522;2.157;2.599;2.923;2.923;2.299;2.599;13.462;14.77;25.152;18.886
36160000;1;01/02/2016;1.571;9.97;7.531;5.744;4.564;3.737;3.007;2.446;2.088;1.643;1.211;1.025;1.025;0.857;0.707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
36160000;1;01/01/2016;15.717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142.718;84.397;107.226;74.5;41.536;22.747;14.107
36160000;1;01/12/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/11/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;1;01/10/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/09/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;1;01/08/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/07/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;1;01/06/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;1;01/05/2015;2.614;1.643;1.211;0.938;0.897;0.707;0;0;0;0;0;0;32.541;10.508;6;4.035;3.007;2.227;1.763;1.417;1.527;2.088;2.088;1.311;1.115;0.981;0.897;1.069;0.897;0.779;0.707;0.672
36160000;1;01/04/2015;2.865;11.252;8.298;4.348;3.181;1.763;2.678;2.299;1.826;1.364;0.981;0.707;0;1.954;0.938;2.522;1.643;1.261;1.025;0.779;0;0;0;0;0;0;19.147;8.141;4.675;3.093;2.088;
36160000;1;01/03/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
