 15days 30days 45days 30daysAfter15
2018-01-04 0.7740174339535302 0.49742031418798477 0.5629054499634729 0.6675015145904342
2018-01-11 0.785905504318345 0.7860251163756629 0.7222890446429309 0.5521054873776868
2018-01-18 0.9696672609512118 0.959774798255166 0.9436920964802243 0.7961873766298984
2018-01-25 0.9834006747922764 0.9800583428081753 0.9760529529605448 0.8685603600953935
2018-02-01 0.9883376614497659 0.9835740479289343 0.9737864732726407 0.8259887433271272
2018-02-08 0.962125471848178 0.9653076732097283 0.9619333292408626 0.9439805712120977
2018-02-15 0.8636809102833475 0.89848926674929 0.7930112245556773 0.5438278047449675
2018-02-22 0.852723377941114 0.9112322219643544 0.7843906910336366 0.4734856939310604
2018-03-01 0.9741011856108988 0.9229537075467145 0.7976052086000996 0.5660187932845662
2018-03-08 0.8929488796828372 0.7762777814518719 0.7606389581976358 0.7033552417607826
2018-03-15 0.746864873525721 0.8140153598219492 0.8534473052071789 0.904674043675601
2018-03-22 0.906501819600108 0.9235317223694682 0.8940291901191206 0.8165436854229173
2018-03-29 0.970118118432074 0.9108290590040778 0.8030245602733757 0.5738539029328141
2018-04-05 0.955738710598704 0.7622308545332427 0.6639305058102172 0.299774840720571
2018-04-12 0.935063316870763 0.9467610367217566 0.9352645252698668 0.7259061904087263
2018-04-19 0.5515454820998418 0.6793727209742779 0.6604202099578258 0.6997253511422442
2018-04-26 0.9109455473245078 0.9286317918874327 0.9225976441909597 0.8123007597662096
